COUNTY_MUNI_CODE,Latitude,Longitude
US16001,43.45193221307878,-116.241309184167
US16003,44.89074931102318,-116.454060815817
US16005,42.66960215757219,-112.2250087992771
US16007,42.28540694645848,-111.3298119151474
US16009,47.21782741225152,-116.6586579545454
US16011,43.21712683684637,-112.3981316326176
US16013,43.41410845826087,-113.9820568207291
US16015,43.9898401303869,-115.7299642921919
US16017,48.30135724520974,-116.6014172159705
US16019,43.38842367095376,-111.615334499797
US16021,48.76753504228495,-116.4630446358147
US16023,43.72439896021996,-113.1719238234716
US16025,43.46409161069481,-114.8059144901774
US16027,43.62550466726618,-116.7094355993512
US16029,42.77108672734047,-111.562240263505
US16031,42.28460079128295,-113.5999147809702
US16033,44.28445616403663,-112.3508745419356
US16035,46.67438311284439,-115.6566116857927
US16037,44.24294763567316,-114.2826413613827
US16039,43.35623143236613,-115.4689788874898
US16041,42.18142003917945,-111.81315347264
US16043,44.22983840003443,-111.4816586063301
US16045,44.06251457693122,-116.3971863086551
US16047,42.97152448720098,-114.8116001790515
US16049,45.84803587129068,-115.4662046730884
US16051,43.82052125891416,-112.3114403563985
US16053,42.69006481212134,-114.2640461877708
US16055,47.67516351273234,-116.7017739859646
US16057,46.8167113980866,-116.7117022743766
US16059,44.94635058325197,-113.9349560037678
US16061,46.23724797268547,-116.426172883677
US16063,43.00272527969472,-114.1382510474922
US16065,43.78428808216486,-111.6592495497203
US16067,42.85513130907341,-113.6372354447121
US16069,46.32777720938555,-116.7500895208065
US16071,42.19530823981342,-112.5393134347841
US16073,42.58484728396713,-116.1712589724984
US16075,44.00699794530728,-116.7607559215518
US16077,42.69451002536535,-112.8409132408263
US16079,47.35552275589799,-115.8933166979462
US16081,43.75974244740438,-111.2076371407043
US16083,42.35694679399811,-114.6672848654702
US16085,44.76857695418013,-115.5656216075622
US16087,44.45326263026152,-116.7849244994721
US20001,37.88589303665753,-95.30138574699065
US20003,38.21441776838891,-95.29332244388029
US20005,39.53184060421732,-95.3134600935442
US20007,37.22919491852855,-98.6848182368622
US20009,38.47929327505697,-98.75646448048349
US20011,37.85544953189243,-94.84929368523288
US20013,39.8267183556359,-95.56421966099784
US20015,37.78190115318701,-96.83906425822838
US20017,38.30237183834682,-96.59392014057532
US20019,37.1502079237502,-96.24537906427918
US20021,37.16949777908742,-94.84627011692292
US20023,39.78621183266808,-101.7311042339855
US20025,37.23588799474518,-99.82031886372914
US20027,39.35005110855708,-97.16517097369297
US20029,39.48051410436018,-97.64928225354598
US20031,38.23710583630022,-95.7341059087276
US20033,37.19152330192205,-99.27187159835417
US20035,37.23812956345957,-96.8374897893083
US20037,37.50750184458384,-94.85181400629284
US20039,39.78509896001697,-100.4598989369904
US20041,38.86697025653875,-97.15271591532029
US20043,39.78822345406121,-95.1468192276458
US20045,38.88481815801082,-95.29263249109744
US20047,37.88782243081772,-99.31221617024012
US20049,37.45384336159483,-96.24408824839075
US20051,38.9150860144459,-99.31722856611955
US20053,38.69684031726459,-98.20473272185058
US20055,38.04473956417817,-100.7368224302413
US20057,37.6920344208983,-99.88795252064108
US20059,38.56472874666869,-95.28594616991816
US20061,39.00253839451265,-96.75256533752928
US20063,38.91642677609814,-100.4829027307116
US20065,39.35005465858625,-99.8832503416364
US20067,37.56239676131313,-101.3080217928432
US20069,37.73866573545305,-100.437872345688
US20071,38.48086673997729,-101.805967803339
US20073,37.87829890811097,-96.23260333561286
US20075,37.99962469143399,-101.791261341499
US20077,37.19185221262052,-98.07549553579088
US20079,38.04333547607247,-97.4272712255096
US20081,37.56245486415322,-100.8711919563869
US20083,38.08769166954564,-99.89793623879451
US20085,39.41711576891135,-95.79361871608566
US20087,39.236007426116,-95.38345296153076
US20089,39.78507626703988,-98.2183410598065
US20091,38.88392258431059,-94.82224277322118
